ID=3184 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:131 - 1Br:031)                   | W=1.62 | D=1.00 | H=0.88 | PA=0.00 | M3=1.430
ID=3178 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:131 - S/Br)                      | W=1.31 | D=1.00 | H=0.88 | PA=0.00 | M3=1.150
ID=3190 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:131 - S/Br - 1Mesa:060)          | W=1.91 | D=1.00 | H=0.71 | PA=0.00 | M3=1.360
ID=3191 | Cat=18 | Marca=ESTOFADO AKIRA            | Desc=Inteiro                                       | W=2.20 | D=1.38 | H=0.79 | PA=0.00 | M3=2.400
ID=3192 | Cat=18 | Marca=ESTOFADO AKIRA            | Desc=Inteiro                                       | W=2.50 | D=1.38 | H=0.79 | PA=0.00 | M3=2.730
ID=3193 | Cat=18 | Marca=ESTOFADO AKIRA            | Desc=Inteiro                                       | W=2.80 | D=1.38 | H=0.79 | PA=0.00 | M3=3.050
ID=3206 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Assento                                       | W=0.92 | D=1.72 | H=0.42 | PA=0.00 | M3=0.660
ID=3207 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Assento                                       | W=1.02 | D=1.72 | H=0.42 | PA=0.00 | M3=0.740
ID=3208 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Assento                                       | W=1.12 | D=1.72 | H=0.42 | PA=0.00 | M3=0.810
ID=3209 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Assento                                       | W=1.22 | D=1.72 | H=0.42 | PA=0.00 | M3=0.880
ID=3210 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Assento                                       | W=1.32 | D=1.72 | H=0.42 | PA=0.00 | M3=0.950
ID=3211 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Encosto e almofada de encosto                 | W=0.60 | D=0.51 | H=0.50 | PA=0.00 | M3=0.150
ID=3212 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Encosto e almofada de encosto                 | W=0.70 | D=0.51 | H=0.50 | PA=0.00 | M3=0.180
ID=3213 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Encosto e almofada de encosto                 | W=0.80 | D=0.51 | H=0.50 | PA=0.00 | M3=0.200
ID=3214 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Encosto e almofada de encosto                 | W=0.90 | D=0.51 | H=0.50 | PA=0.00 | M3=0.230
ID=3215 | Cat=18 | Marca=ESTOFADO ALMA             | Desc=Encosto e almofada de encosto                 | W=1.00 | D=0.51 | H=0.50 | PA=0.00 | M3=0.260
ID=3198 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:090 - 1Br:030)                   | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
ID=3194 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:090 - S/br)                      | W=0.90 | D=1.00 | H=0.82 | PA=0.00 | M3=0.740
ID=3199 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:100 - 1Br:030)                   | W=1.30 | D=1.00 | H=0.82 | PA=0.00 | M3=1.070
ID=3195 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:100 - S/br)                      | W=1.00 | D=1.00 | H=0.82 | PA=0.00 | M3=0.820
ID=3200 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:110 - 1Br:030)                   | W=1.40 | D=1.00 | H=0.82 | PA=0.00 | M3=1.150
ID=3196 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:110 - S/br)                      | W=1.10 | D=1.00 | H=0.82 | PA=0.00 | M3=0.900
ID=3201 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:120 - 1Br:030)                   | W=1.50 | D=1.00 | H=0.82 | PA=0.00 | M3=1.230
ID=3197 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Módulo (1Ass:120 - S/br)                      | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
ID=3202 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Puff 090x100                                  | W=0.90 | D=1.00 | H=0.41 | PA=0.00 | M3=0.370
ID=3203 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Puff 100x100                                  | W=1.00 | D=1.00 | H=0.41 | PA=0.00 | M3=0.410
ID=3204 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Puff 110x100                                  | W=1.10 | D=1.00 | H=0.41 | PA=0.00 | M3=0.450
ID=3205 | Cat=18 | Marca=ESTOFADO ALOHA            | Desc=Puff 120x100                                  | W=1.20 | D=1.00 | H=0.41 | PA=0.00 | M3=0.490
ID=4665 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:090 - 1Br:030)                   | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
ID=4661 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:090 - S/br)                      | W=0.90 | D=1.00 | H=0.82 | PA=0.00 | M3=0.740
ID=4666 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:100 - 1Br:030)                   | W=1.30 | D=1.00 | H=0.82 | PA=0.00 | M3=1.070
