Row  44 | Model: ESTOFADO ANKUR            | Desc: Puff 1,00 x 0,80                         | W=1.00 | D=0.80 | H=0.45 | PA=0.00 | M3=0.800 | Prices=[1193.59603125, 1215.85275, 1250.82759375, 1282.6229062500001, 1317.59775, 1352.57259375, 1387.5474375000001, 1447.9585312499999, 1546.5240000000001]
Row  45 | Model: ESTOFADO ANKUR            | Desc: Puff 1,10 x 0,80                         | W=1.10 | D=0.80 | H=0.45 | PA=0.00 | M3=0.880 | Prices=[1262.01954375, 1286.0568, 1323.8296312500001, 1358.1685687500003, 1395.9414000000002, 1433.7142312499998, 1471.4870625, 1536.73104375, 1643.1817500000002]
Row  47 | Model: ESTOFADO ANKUR            | Desc: Puff 1,00 com mesa 0,55                  | W=1.55 | D=0.80 | H=0.45 | PA=0.00 | M3=1.240 | Prices=[1483.5056906250002, 1501.7562, 1530.4355718749998, 1556.507728125, 1585.1871, 1613.8664718750003, 1642.54584375, 1692.082940625, 1772.906625]
Row  48 | Model: ESTOFADO ANKUR            | Desc: Puff 1,10 com mesa 0,55                  | W=1.65 | D=0.80 | H=0.45 | PA=0.00 | M3=1.320 | Prices=[1545.697321875, 1564.8381000000002, 1594.916465625, 1622.260434375, 1652.3388, 1682.417165625, 1712.49553125, 1764.4490718749998, 1849.2153750000004]
Row  50 | Model: ESTOFADO ANKUR            | Desc: Almofada de Encosto                      | W=0.80 | D=0.20 | H=0.45 | PA=0.00 | M3=0.160 | Prices=[153.63494999999998, 164.318175, 181.1061, 196.36784999999998, 213.15577499999995, 229.94369999999995, 246.731625, 275.72894999999994, 323.040375]
Row  51 | Model: ESTOFADO ANKUR            | Desc: Almofada de Encosto                      | W=0.90 | D=0.20 | H=0.45 | PA=0.00 | M3=0.180 | Prices=[167.49770624999996, 179.0712, 197.25811875000002, 213.79168124999995, 231.97859999999997, 250.16551875, 268.35243749999995, 299.76620625000004, 351.02025000000003]
Row  52 | Model: ESTOFADO ANKUR            | Desc: Almofada de Encosto                      | W=1.00 | D=0.20 | H=0.45 | PA=0.00 | M3=0.200 | Prices=[183.9040875, 196.36784999999998, 215.95376250000004, 233.7591375, 253.34505000000004, 272.9309625, 292.51687499999997, 326.34708750000004, 381.54375]
Row  53 | Model: ESTOFADO ANKUR            | Desc: Almofada de Encosto                      | W=1.10 | D=0.20 | H=0.45 | PA=0.00 | M3=0.220 | Prices=[197.76684375, 211.120875, 232.10578125, 251.18296875000001, 272.167875, 293.15278125000003, 314.1376875, 350.38434375, 409.523625]
Row  55 | Model: ESTOFADO ANKUR            | Desc: Sumie Sem Canto 200                      | W=2.00 | D=1.08 | H=0.86 | PA=0.00 | M3=2.160 | Prices=[2807.52609375, 2874.29625, 2979.22078125, 3074.6067187500003, 3179.53125, 3284.45578125, 3389.3803125000004, 3570.6135937500003, 3866.3100000000004]
Row  56 | Model: ESTOFADO ANKUR            | Desc: Sumie Sem Canto 220                      | W=2.20 | D=1.08 | H=0.86 | PA=0.00 | M3=2.376 | Prices=[3043.0657687499997, 3116.958075000001, 3233.07455625, 3338.63499375, 3454.7514750000005, 3570.8679562499997, 3686.9844375, 3887.54926875, 4214.786625]
